mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
/Government/Cadw,/Government/Cadw,198054,133469.1,287824,1.7
/Government/Local Authority,/Government/Cadw,114187,60236.5,229670,-0.2
/Government/National,/Government/Cadw,128523,51157.1,201998,0.2
/Government/Other,/Government/Cadw,77172,119745.5,352511,-1
/Independent/English Heritage,/Government/Cadw,57368,63227.2,189582,-1.4
/Independent/Historic Environment Scotland,/Government/Cadw,0,0,0,-2.7
/Independent/National Trust,/Government/Cadw,130676,90081.7,296738,0.2
/Independent/National Trust for Scotland,/Government/Cadw,0,0,0,-2.7
/Independent/Not for profit,/Government/Cadw,112220,65842.9,233676,-0.2
/Independent/Private,/Government/Cadw,119137,74680.8,252806,-0
/Independent/Unknown,/Government/Cadw,111166,72035.3,243642,-0.2
/University,/Government/Cadw,97883,59242.6,212112,-0.5
/Unknown,/Government/Cadw,139893,61586.8,240560,0.4
all,/Government/Cadw,115122,65290.1,236930,-0.1
/Government/Cadw,/Government/Local Authority,113303,59009.3,224466,-0.2
/Government/Local Authority,/Government/Local Authority,148438,73088.6,266799,0.6
/Government/National,/Government/Local Authority,155947,66225,260963,0.8
/Government/Other,/Government/Local Authority,106563,70331.6,245143,-0.3
/Independent/English Heritage,/Government/Local Authority,147440,75040.9,270544,0.6
/Independent/Historic Environment Scotland,/Government/Local Authority,91524,44287.5,162345,-0.6
/Independent/National Trust,/Government/Local Authority,144164,77091.2,269965,0.5
/Independent/National Trust for Scotland,/Government/Local Authority,107580,46897.8,176980,-0.3
/Independent/Not for profit,/Government/Local Authority,146726,73969.1,267290,0.6
/Independent/Private,/Government/Local Authority,141153,74165.9,262245,0.4
/Independent/Unknown,/Government/Local Authority,146065,75543,268319,0.5
/University,/Government/Local Authority,156123,74148.3,275129,0.8
/Unknown,/Government/Local Authority,134798,71338.2,250560,0.3
all,/Government/Local Authority,146396,73068.3,265566,0.5
/Government/Cadw,/Government/National,128523,51157.1,201998,0.2
/Government/Local Authority,/Government/National,157244,67442.8,263223,0.8
/Government/National,/Government/National,202541,38410.3,253423,1.8
/Government/Other,/Government/National,66211,77553.7,269211,-1.2
/Independent/English Heritage,/Government/National,177112,70205.7,290608,1.2
/Independent/Historic Environment Scotland,/Government/National,88312,36168.7,136941,-0.7
/Independent/National Trust,/Government/National,158088,76030.3,280032,0.8
/Independent/National Trust for Scotland,/Government/National,100617,44343.6,161138,-0.5
/Independent/Not for profit,/Government/National,167919,66923.2,275842,1
/Independent/Private,/Government/National,156539,67677.4,266857,0.8
/Independent/Unknown,/Government/National,150995,70375,266217,0.7
/University,/Government/National,183709,62655.1,273294,1.4
/Unknown,/Government/National,157779,73890,261874,0.8
all,/Government/National,164027,66008.6,270016,0.9
/Government/Cadw,/Government/Other,77172,119745.5,352511,-1
/Government/Local Authority,/Government/Other,108241,72057,247709,-0.3
/Government/National,/Government/Other,66219,77633.9,268179,-1.2
/Government/Other,/Government/Other,0,0,0,-2.7
/Independent/English Heritage,/Government/Other,58935,74047.3,227468,-1.4
/Independent/Historic Environment Scotland,/Government/Other,0,0,0,-2.7
/Independent/National Trust,/Government/Other,104159,68983.7,238453,-0.4
/Independent/National Trust for Scotland,/Government/Other,0,0,0,-2.7
/Independent/Not for profit,/Government/Other,112829,75304.4,262855,-0.2
/Independent/Private,/Government/Other,116902,70721.7,250030,-0.1
/Independent/Unknown,/Government/Other,121511,88480.4,272697,0
/University,/Government/Other,104124,94742,278403,-0.4
/Unknown,/Government/Other,114940,88689,255270,-0.1
all,/Government/Other,111400,72717.7,255202,-0.2
/Government/Cadw,/Independent/English Heritage,56553,61761.1,182036,-1.4
/Government/Local Authority,/Independent/English Heritage,145773,73526.5,264935,0.5
/Government/National,/Independent/English Heritage,172713,65347.5,277855,1.1
/Government/Other,/Independent/English Heritage,55804,69766.2,217006,-1.4
/Independent/English Heritage,/Independent/English Heritage,180777,79337.1,304561,1.3
/Independent/Historic Environment Scotland,/Independent/English Heritage,62452,46709.8,128719,-1.3
/Independent/National Trust,/Independent/English Heritage,152594,76264.9,274192,0.7
/Independent/National Trust for Scotland,/Independent/English Heritage,42246,34701.4,122925,-1.7
/Independent/Not for profit,/Independent/English Heritage,156540,74801.4,278061,0.8
/Independent/Private,/Independent/English Heritage,147434,73656.2,268873,0.6
/Independent/Unknown,/Independent/English Heritage,145252,74903.5,267405,0.5
/University,/Independent/English Heritage,154604,78992.8,279819,0.7
/Unknown,/Independent/English Heritage,145530,74414,257381,0.5
all,/Independent/English Heritage,152382,73455.4,272006,0.7
/Government/Cadw,/Independent/Historic Environment Scotland,0,0,0,-2.7
/Government/Local Authority,/Independent/Historic Environment Scotland,91531,44293.8,162320,-0.6
/Government/National,/Independent/Historic Environment Scotland,88320,36178.3,137247,-0.7
/Government/Other,/Independent/Historic Environment Scotland,0,0,0,-2.7
/Independent/English Heritage,/Independent/Historic Environment Scotland,62452,46709.8,128719,-1.3
/Independent/Historic Environment Scotland,/Independent/Historic Environment Scotland,161938,88303,302967,0.9
/Independent/National Trust,/Independent/Historic Environment Scotland,35791,25729.1,82834,-1.9
/Independent/National Trust for Scotland,/Independent/Historic Environment Scotland,198338,95420.5,348271,1.7
/Independent/Not for profit,/Independent/Historic Environment Scotland,76220,37371,136817,-1
/Independent/Private,/Independent/Historic Environment Scotland,78585,38236.2,141207,-0.9
/Independent/Unknown,/Independent/Historic Environment Scotland,67708,35487.1,123248,-1.2
/University,/Independent/Historic Environment Scotland,108725,48306.5,182783,-0.3
/Unknown,/Independent/Historic Environment Scotland,60257,34283.5,114997,-1.3
all,/Independent/Historic Environment Scotland,82254,39252.1,145847,-0.9
/Government/Cadw,/Independent/National Trust,128062,86483.3,283066,0.1
/Government/Local Authority,/Independent/National Trust,144385,77171.7,269519,0.5
/Government/National,/Independent/National Trust,157184,75091,278428,0.8
/Government/Other,/Independent/National Trust,102186,67238.8,238428,-0.4
/Independent/English Heritage,/Independent/National Trust,155544,78797.2,282459,0.7
/Independent/Historic Environment Scotland,/Independent/National Trust,35709,25597.1,82010,-1.9
/Independent/National Trust,/Independent/National Trust,160135,83444,295890,0.8
/Independent/National Trust for Scotland,/Independent/National Trust,23605,21921.3,73704,-2.1
/Independent/Not for profit,/Independent/National Trust,153216,79743.2,283288,0.7
/Independent/Private,/Independent/National Trust,149672,78765,278742,0.6
/Independent/Unknown,/Independent/National Trust,151614,79520.7,281199,0.7
/University,/Independent/National Trust,150484,79050,279065,0.6
/Unknown,/Independent/National Trust,142463,76896.8,268157,0.5
all,/Independent/National Trust,150495,78090.2,278179,0.6
/Government/Cadw,/Independent/National Trust for Scotland,0,0,0,-2.7
/Government/Local Authority,/Independent/National Trust for Scotland,107645,46982,177632,-0.3
/Government/National,/Independent/National Trust for Scotland,100620,44348.1,161324,-0.5
/Government/Other,/Independent/National Trust for Scotland,0,0,0,-2.7
/Independent/English Heritage,/Independent/National Trust for Scotland,42246,34701.4,122925,-1.7
/Independent/Historic Environment Scotland,/Independent/National Trust for Scotland,198424,95546.1,349092,1.7
/Independent/National Trust,/Independent/National Trust for Scotland,23761,22183.3,75302,-2.1
/Independent/National Trust for Scotland,/Independent/National Trust for Scotland,243345,103016.7,385378,2.7
/Independent/Not for profit,/Independent/National Trust for Scotland,86375,39872.3,148026,-0.8
/Independent/Private,/Independent/National Trust for Scotland,83748,42881.8,153848,-0.8
/Independent/Unknown,/Independent/National Trust for Scotland,76784,33356.6,129760,-1
/University,/Independent/National Trust for Scotland,132345,54421.7,206409,0.2
/Unknown,/Independent/National Trust for Scotland,59913,29975.9,114525,-1.3
all,/Independent/National Trust for Scotland,93458,41831.9,158471,-0.6
/Government/Cadw,/Independent/Not for profit,110854,63973,225788,-0.2
/Government/Local Authority,/Independent/Not for profit,146614,73804.2,266069,0.6
/Government/National,/Independent/Not for profit,166139,65066.2,270980,1
/Government/Other,/Independent/Not for profit,109554,71742.9,255526,-0.3
/Independent/English Heritage,/Independent/Not for profit,158860,76929.9,285114,0.8
/Independent/Historic Environment Scotland,/Independent/Not for profit,76157,37323.6,136767,-1
/Independent/National Trust,/Independent/Not for profit,152720,79370.8,282088,0.7
/Independent/National Trust for Scotland,/Independent/Not for profit,86350,39837.9,147755,-0.8
/Independent/Not for profit,/Independent/Not for profit,155611,76390.3,280927,0.8
/Independent/Private,/Independent/Not for profit,147884,75119.1,271521,0.6
/Independent/Unknown,/Independent/Not for profit,150174,77518.1,277196,0.6
/University,/Independent/Not for profit,160278,75967.7,281565,0.9
/Unknown,/Independent/Not for profit,143982,75592.3,263989,0.5
all,/Independent/Not for profit,152139,74763.7,274613,0.7
/Government/Cadw,/Independent/Private,116799,71532.6,241085,-0.1
/Government/Local Authority,/Independent/Private,141099,73960.2,260954,0.4
/Government/National,/Independent/Private,155366,66462.8,263624,0.7
/Government/Other,/Independent/Private,113324,66681,241451,-0.2
/Independent/English Heritage,/Independent/Private,150092,75793.6,275486,0.6
/Independent/Historic Environment Scotland,/Independent/Private,78539,38191.4,141016,-0.9
/Independent/National Trust,/Independent/Private,149368,78495.5,277638,0.6
/Independent/National Trust for Scotland,/Independent/Private,83729,42851.9,153367,-0.8
/Independent/Not for profit,/Independent/Private,148043,75180.4,271508,0.6
/Independent/Private,/Independent/Private,143216,73875.7,265653,0.5
/Independent/Unknown,/Independent/Private,144269,76047.9,268221,0.5
/University,/Independent/Private,151328,75202,272068,0.7
/Unknown,/Independent/Private,136633,73078.2,254541,0.3
all,/Independent/Private,145679,73910.5,267081,0.5
/Government/Cadw,/Independent/Unknown,109639,70027,234009,-0.3
/Government/Local Authority,/Independent/Unknown,145778,75202.8,267018,0.5
/Government/National,/Independent/Unknown,149024,68353.4,262573,0.6
/Government/Other,/Independent/Unknown,118624,85327.5,264833,-0.1
/Independent/English Heritage,/Independent/Unknown,147259,76251.2,272916,0.6
/Independent/Historic Environment Scotland,/Independent/Unknown,67728,35511.9,122774,-1.2
/Independent/National Trust,/Independent/Unknown,150968,78927.4,279866,0.6
/Independent/National Trust for Scotland,/Independent/Unknown,76763,33327.6,129525,-1
/Independent/Not for profit,/Independent/Unknown,149927,77244.4,277211,0.6
/Independent/Private,/Independent/Unknown,143867,75760.1,268178,0.5
/Independent/Unknown,/Independent/Unknown,151087,78018.9,277143,0.7
/University,/Independent/Unknown,150227,80835.6,282717,0.6
/Unknown,/Independent/Unknown,140800,74051.8,262273,0.4
all,/Independent/Unknown,147770,75686.4,272054,0.6
/Government/Cadw,/University,97264,58473.7,209039,-0.5
/Government/Local Authority,/University,157055,75095.1,277700,0.8
/Government/National,/University,183403,62433.2,272410,1.4
/Government/Other,/University,103430,94412.7,283593,-0.4
/Independent/English Heritage,/University,157829,82572,292222,0.8
/Independent/Historic Environment Scotland,/University,108764,48358.8,183052,-0.3
/Independent/National Trust,/University,151238,79999.2,282173,0.7
/Independent/National Trust for Scotland,/University,132345,54421.7,206409,0.2
/Independent/Not for profit,/University,161963,77747.7,287482,0.9
/Independent/Private,/University,152819,76860,278003,0.7
/Independent/Unknown,/University,151709,82316,287110,0.7
/University,/University,186278,65171.8,288250,1.4
/Unknown,/University,148903,77123.9,269167,0.6
all,/University,159763,75598.6,282252,0.8
/Government/Cadw,/Unknown,139389,60960.8,237214,0.4
/Government/Local Authority,/Unknown,134697,71156.7,249196,0.3
/Government/National,/Unknown,155907,71935.3,256301,0.8
/Government/Other,/Unknown,112145,85096.9,243751,-0.2
/Independent/English Heritage,/Unknown,148097,76711.6,265149,0.6
/Independent/Historic Environment Scotland,/Unknown,59987,34082.7,114130,-1.3
/Independent/National Trust,/Unknown,141940,76294.3,266542,0.5
/Independent/National Trust for Scotland,/Unknown,59848,29871.6,113176,-1.3
/Independent/Not for profit,/Unknown,144274,75681.3,264064,0.5
/Independent/Private,/Unknown,136770,73150.4,254812,0.3
/Independent/Unknown,/Unknown,141083,74355.4,262242,0.4
/University,/Unknown,147275,75373.6,262814,0.6
/Unknown,/Unknown,140103,76355.7,250326,0.4
all,/Unknown,141005,73297.6,257904,0.4
/Government/Cadw,all,113705,63347.3,229029,-0.2
/Government/Local Authority,all,146369,72986.8,264782,0.5
/Government/National,all,162532,64478.9,266290,0.9
/Government/Other,all,108689,69784,249635,-0.3
/Independent/English Heritage,all,154647,75500.7,278816,0.7
/Independent/Historic Environment Scotland,all,82217,39223.1,145773,-0.9
/Independent/National Trust,all,150142,77844,277504,0.6
/Independent/National Trust for Scotland,all,93423,41783.5,158052,-0.6
/Independent/Not for profit,all,152262,74881.6,275116,0.7
/Independent/Private,all,145653,73978.4,267584,0.5
/Independent/Unknown,all,148097,76032.9,272544,0.6
/University,all,158419,74158.5,277541,0.8
/Unknown,all,140943,73371.2,258413,0.4
all,all,149028,74143.6,270139,0.6
